calcimycin,d03.633.100.221.173
humidifiers,j01.494.650
acculturation,i01.076.201.450.050
acculturation,i01.880.853.100.079
insulin glargine,d06.472.699.587.200.300.100
insulin glargine,d12.644.548.586.200.300.100
lurasidone hydrochloride,d02.886.675.414
lurasidone hydrochloride,d03.383.129.708.414
lurasidone hydrochloride,d03.633.100.513.437
insulin detemir,d06.472.699.587.200.300.050
insulin detemir,d12.644.548.586.200.300.050
vardenafil dihydrochloride,d03.383.129.308.980
vardenafil dihydrochloride,d03.383.606.960
atorvastatin,d03.383.129.578.075
atorvastatin,d10.251.450.200
"fractures, multiple",c26.404.280
"fractures, multiple",c26.640.500
memory consolidation,f02.463.425.540.305.500
seroconversion,g12.800
radiation exposure,g01.750.748
radiation exposure,n06.850.460.350.850
health smart cards,e05.318.308.940.968.625.750
health smart cards,l01.313.500.750.300.695.300
health smart cards,n04.452.653.250
health smart cards,n04.452.859.564.650.250
health smart cards,n05.715.360.300.715.500.530.500
health smart cards,n06.850.520.308.940.968.625.500
type i secretion systems,d05.500.890.500.500
type ii secretion systems,d05.500.890.500.750
gastrointestinal microbiome,g06.591.375
gastrointestinal microbiome,g16.500.275.157.049.100.500.375
gastrointestinal microbiome,n06.230.124.049.100.500.250
contraceptive prevalence surveys,e05.318.308.980.313
contraceptive prevalence surveys,n05.715.360.300.800.313
contraceptive prevalence surveys,n06.850.520.308.980.313
pericardial fluid,a07.541.795.500
pericardial fluid,a10.615.789.470.500
pericardial fluid,a12.207.270.651
arthrocentesis,e01.370.225.998.329.465
arthrocentesis,e02.800.550.310
arthrocentesis,e04.665.600.465
arthrocentesis,e05.200.998.329.465
thoracentesis,e01.370.225.998.329.810
thoracentesis,e02.800.550.810
thoracentesis,e04.665.600.810
thoracentesis,e05.200.998.329.810
superficial musculoaponeurotic system,a01.456.505.875
superficial musculoaponeurotic system,a01.598.500
podosomes,a11.284.180.695
podosomes,a11.436.275.841
plantar plate,a02.165.308.650
plantar plate,a02.513.514.538
plantar plate,a02.835.583.378.531.500
plantar plate,a02.835.583.378.900.500
plantar plate,a02.835.583.512.538
plantar plate,a10.165.382.350.400
plantar plate,a10.165.669.514.538
fallopia,b01.650.940.800.575.912.250.825.359
arterial switch operation,e04.100.376.031
arterial switch operation,e04.928.220.055
drug resistant epilepsy,c10.228.140.490.125
electrocorticography,e01.370.376.300.294
electrocorticography,e01.370.405.245.431
autoimmune hypophysitis,c10.228.140.617.738.275.500
autoimmune hypophysitis,c19.700.419.500
autoimmune hypophysitis,c20.111.273
canaliculitis,c11.496.221.500
rituximab,d12.776.124.486.485.114.224.075.785
rituximab,d12.776.124.790.651.114.224.075.785
rituximab,d12.776.377.715.548.114.224.284.785
protein translocation systems,d05.500.890
infliximab,d12.776.124.486.485.114.224.608
infliximab,d12.776.124.790.651.114.224.537
infliximab,d12.776.377.715.548.114.224.642
bortezomib,d01.029.260.110.500
bortezomib,d01.132.285.500
bortezomib,d02.203.200.500
bortezomib,d03.383.679.450
capecitabine,d03.383.742.680.245.500.425
capecitabine,d03.383.742.698.875.404.425
capecitabine,d13.570.230.329.313
capecitabine,d13.570.685.245.500.425
parasite encystment,g07.345.500.550.875
incisional hernia,c23.300.707.945
incisional hernia,c23.550.767.500
pyroptosis,g04.146.160.530
plasmablastic lymphoma,c04.557.386.480.150.585.500
plasmablastic lymphoma,c15.604.515.569.480.150.585.500
plasmablastic lymphoma,c20.683.515.761.480.150.585.500
twin-arginine-translocation system,d05.500.890.750
mammary analogue secretory carcinoma,c04.557.470.200.588
type iii secretion systems,d05.500.890.500.875
acne conglobata,c17.800.030.150.500
acne conglobata,c17.800.794.111.500
type iv secretion systems,d05.500.890.500.937
type v secretion systems,d05.500.890.500.968
mitochondrial replacement therapy,e02.875.800.750.350
mitochondrial replacement therapy,e05.200.500.380.250
mitochondrial replacement therapy,e05.393.085.250
mitochondrial replacement therapy,e05.820.800.750.350
self expandable metallic stents,e07.695.750.750
neurovascular coupling,g09.330.100.159.500
fused kidney,c12.706.445
fused kidney,c13.351.875.420
fused kidney,c16.131.939.445
neuropathology,h01.158.610.184
neuropathology,h02.403.600.250
neuropathology,h02.403.650.375
trachelectomy,e04.950.300.399.690
deprescriptions,e02.319.698.500
transitional care,e02.760.169.812
transitional care,e02.760.940
transitional care,n02.421.585.169.812
transitional care,n02.421.585.940
transitional care,n04.590.233.727.210.812
medical overuse,n02.421.380.450
medical overuse,n05.300.150.395.450
bone-implant interface,a02.835.232.022
bone-implant interface,a10.165.265.183
bone-implant interface,e07.695.125
erlotinib hydrochloride,d03.633.100.786.375
quetiapine fumarate,d02.886.680.702.500.500
quetiapine fumarate,d03.633.300.276.500
linezolid,d02.065.064.463
linezolid,d02.241.081.018.110.525
linezolid,d03.383.129.462.600.550
telerehabilitation,e02.760.169.063.500.891
telerehabilitation,e02.831.891
telerehabilitation,h02.403.680.600.937
telerehabilitation,h02.403.840.850
telerehabilitation,l01.178.847.652.850
telerehabilitation,n02.421.784.840
telerehabilitation,n04.590.374.800.850
tympanocentesis,e01.370.225.998.329.905
tympanocentesis,e02.800.550.905
tympanocentesis,e04.665.600.905
tympanocentesis,e05.200.998.329.905
type vi secretion systems,d05.500.890.500.984
type vii secretion systems,d05.500.890.500.992
mitochondrial ribosomes,a11.284.430.214.190.875.564.755
mitochondrial ribosomes,a11.284.430.214.190.875.811.370
intravital microscopy,e01.370.350.515.277
intravital microscopy,e05.595.185
toxicological phenomena,g07.690.936
pharmacological phenomena,g07.690.773
ezetimibe,d03.383.082.301.550
dasatinib,d02.886.675.184
dasatinib,d03.383.129.708.198
dasatinib,d03.383.742.148
natalizumab,d12.776.124.486.485.114.224.060.813
natalizumab,d12.776.124.790.651.114.224.060.813
natalizumab,d12.776.377.715.548.114.224.200.813
heptavalent pneumococcal conjugate vaccine,d20.215.894.135.750.600.500
omalizumab,d12.776.124.486.485.114.071.500
omalizumab,d12.776.124.486.485.114.224.060.844
omalizumab,d12.776.124.790.651.114.071.500
omalizumab,d12.776.124.790.651.114.224.060.844
omalizumab,d12.776.377.715.548.114.071.500
omalizumab,d12.776.377.715.548.114.224.200.844
atomoxetine hydrochloride,d02.092.831.085
atazanavir sulfate,d03.383.725.068
atazanavir sulfate,d12.644.456.157
tiotropium bromide,d02.145.074.722.822.887
tiotropium bromide,d03.132.889.601.887
tiotropium bromide,d03.605.084.500.722.822.887
tiotropium bromide,d03.605.869.822.887
denosumab,d12.776.124.486.485.114.224.060.782
denosumab,d12.776.124.790.651.114.224.060.782
denosumab,d12.776.377.715.548.114.224.200.782
cinacalcet,d02.455.426.559.847.638.183
cinacalcet,d04.615.638.183
liraglutide,d06.472.317.680.500.500.500
long term adverse effects,c23.550.543
pathogen-associated molecular pattern molecules,d23.585
ultrasonic waves,g01.750.770.776.891
darunavir,d02.065.884.438
darunavir,d02.241.081.251.222
darunavir,d02.886.590.700.400
darunavir,d03.383.312.303
palivizumab,d12.776.124.486.485.114.224.060.860
palivizumab,d12.776.124.790.651.114.224.060.860
palivizumab,d12.776.377.715.548.114.224.200.860
silent mutation,g05.365.590.803
population forecast,i01.320.500
population forecast,n01.224.667
ranolazine,d02.065.199.092.850
ranolazine,d02.092.146.113.092.850
ranolazine,d03.383.606.841
"teas, herbal",d20.215.784.937
"teas, herbal",g07.203.100.950
"teas, herbal",j02.200.950
"teas, medicinal",g07.203.100.975
"teas, medicinal",j02.200.975
bendamustine hydrochloride,d02.241.081.114.625
bendamustine hydrochloride,d02.455.526.728.650.103
bendamustine hydrochloride,d03.633.100.103.123
dimethyl fumarate,d02.241.081.337.302.500
olive oil,d10.212.302.380.580
olive oil,d10.212.507.650
olive oil,d10.627.700.728
olive oil,g07.203.300.375.400.500
olive oil,j02.500.375.400.500
solifenacin succinate,d03.605.687.900
solifenacin succinate,d03.633.100.531.820.594
febuxostat,d02.886.675.274
febuxostat,d03.383.129.708.274
red meat,g07.203.300.600.813
red meat,j02.500.600.813
fecal microbiota transplantation,e02.095.231
desvenlafaxine succinate,d02.033.415.510.500.303
desvenlafaxine succinate,d02.455.426.392.368.367.318.500
desvenlafaxine succinate,d02.455.426.559.389.657.265
desvenlafaxine succinate,d10.289.510.500.303
medical-surgical nursing,h02.478.676.403
medical-surgical nursing,n02.421.533.475
venlafaxine hydrochloride,d02.033.415.510.500.901
venlafaxine hydrochloride,d02.092.471.683.948
venlafaxine hydrochloride,d02.455.426.392.368.367.318.750
venlafaxine hydrochloride,d10.289.510.500.901
neurosurgeons,m01.526.485.810.910.750
neurosurgeons,n02.360.810.910.750
colesevelam hydrochloride,d02.092.050.500
colesevelam hydrochloride,d02.455.326.271.122.100.500
radiation dose hypofractionation,e02.815.639.200.500
sofosbuvir,d03.383.742.686.850.877.500
sofosbuvir,d13.695.740.850.877.500
sofosbuvir,d13.695.827.919.877.500
re-irradiation,e02.815.791
re-irradiation,e02.887.500
linagliptin,d03.633.100.759.562
linagliptin,d03.633.100.786.563
lisdexamfetamine dimesylate,d02.092.471.683.152.110.200.500
"buprenorphine, naloxone drug combination",d03.132.577.249.150.500
"buprenorphine, naloxone drug combination",d03.132.577.249.706.275
"buprenorphine, naloxone drug combination",d03.605.497.150.500
"buprenorphine, naloxone drug combination",d03.605.497.750.275
"buprenorphine, naloxone drug combination",d03.633.400.686.150.500
"buprenorphine, naloxone drug combination",d03.633.400.686.750.275
"buprenorphine, naloxone drug combination",d04.615.723.795.150.500
"buprenorphine, naloxone drug combination",d04.615.723.795.706.275
"buprenorphine, naloxone drug combination",d26.310.352
"emtricitabine, tenofovir disoproxil fumarate drug combination",d02.705.429.906.750
"emtricitabine, tenofovir disoproxil fumarate drug combination",d03.383.742.680.245.500.600.750
"emtricitabine, tenofovir disoproxil fumarate drug combination",d03.633.100.759.138.881.750
"emtricitabine, tenofovir disoproxil fumarate drug combination",d13.570.230.329.525.500
"emtricitabine, tenofovir disoproxil fumarate drug combination",d13.570.685.245.500.600.500
"emtricitabine, tenofovir disoproxil fumarate drug combination",d26.310.423
origin of life,g16.650
origin of life,i01.076.368.584.542
"ezetimibe, simvastatin drug combination",d02.455.426.559.847.638.400.900.500
"ezetimibe, simvastatin drug combination",d03.383.082.301.550.500
"ezetimibe, simvastatin drug combination",d04.615.638.400.900.500
"ezetimibe, simvastatin drug combination",d26.310.431
abiraterone acetate,d04.210.500.054.079.065
"budesonide, formoterol fumarate drug combination",d02.033.100.291.425.250
"budesonide, formoterol fumarate drug combination",d02.092.063.291.425.250
"budesonide, formoterol fumarate drug combination",d04.210.500.745.745.654.105.500
"budesonide, formoterol fumarate drug combination",d26.310.348
vilazodone hydrochloride,d03.383.606.980
vilazodone hydrochloride,d03.633.100.127.818
vilazodone hydrochloride,d03.633.100.473.957
international law,i01.880.604.583.466
international law,n03.706.535.533
blog,v01.175.125
blog,v02.170.250
blog,v02.530.150.250
adult day care centers,j03.040
adult day care centers,n02.421.143.065
infectious encephalitis,c10.228.140.430.520
infectious encephalitis,c10.228.228.399
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d02.241.081.251.203.500
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d02.705.429.906.250
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d02.886.675.182.500
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.383.129.708.189.500
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.383.742.680.245.500.600.250
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.633.100.759.138.881.250
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d13.570.230.329.525.250
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d13.570.685.245.500.600.250
"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate drug combination",d26.310.391
cobicistat,d02.241.081.251.203
cobicistat,d02.886.675.182
cobicistat,d03.383.129.708.189
ustekinumab,d12.776.124.486.485.114.224.060.937
ustekinumab,d12.776.124.790.651.114.224.060.937
ustekinumab,d12.776.377.715.548.114.224.200.937
machine learning,g17.035.250.500
machine learning,l01.224.050.375.530
environmental psychology,f04.096.628.033
rivaroxaban,d02.886.778.727
rivaroxaban,d03.383.533.640.713
rivaroxaban,d03.383.903.727
supervised machine learning,g17.035.250.500.500
supervised machine learning,l01.224.050.375.530.500
"injection, intratympanic",e02.319.267.530.655
travoprost,d10.251.355.255.550.775.500.175.500
travoprost,d23.469.050.175.725.775.500.175.500
travoprost,d23.469.700.670.175.500
unsupervised machine learning,g17.035.250.500.750
unsupervised machine learning,l01.224.050.375.530.750
loteprednol etabonate,d04.210.500.054.079.129.284
health equity,n04.590.374.350.500
health equity,n05.300.430.383
morcellation,e04.502.648
waterborne diseases,c01.539.221.750
ranibizumab,d12.776.124.486.485.114.224.060.868
ranibizumab,d12.776.124.790.651.114.224.060.868
ranibizumab,d12.776.377.715.548.114.224.200.868
bimatoprost,d02.065.141
bimatoprost,d10.251.355.255.550.775.500.175.250
bimatoprost,d23.469.050.175.725.775.500.175.250
bimatoprost,d23.469.700.670.175.250
exposure to violence,i01.880.735.900.869
eszopiclone,d03.383.606.398
eszopiclone,d03.383.679.600
eszopiclone,d03.383.725.322
pregabalin,d02.241.081.114.500.350.500
pregabalin,d12.125.190.350.450
unilateral breast neoplasms,c04.588.180.800
unilateral breast neoplasms,c17.800.090.500.682
filgrastim,d12.644.276.374.410.240.350.500
filgrastim,d12.776.395.240.200.500
filgrastim,d12.776.467.374.410.240.350.500
filgrastim,d23.529.374.410.240.350.500
adult survivors of child adverse events,m01.860.300
round ligaments,a02.513.901
round ligaments,a10.165.669.901
round ligament of liver,a02.513.901.750
round ligament of liver,a03.620.575
round ligament of liver,a10.165.669.901.750
round ligament of femur,a02.513.514.800
round ligament of femur,a02.513.901.500
round ligament of femur,a02.835.583.411.500
round ligament of femur,a02.835.583.512.950
round ligament of femur,a10.165.669.514.800
round ligament of femur,a10.165.669.901.500
abatacept,d12.776.124.790.651.114.580.225
abatacept,d12.776.377.715.548.114.580.225
presenteeism,f02.784.692.586
presenteeism,f04.096.628.779.450
crop production,j01.040.227
plant breeding,j01.040.227.500
crop protection,j01.040.237
working poor,m01.987
sevelamer,d02.092.782.634
dabigatran,d03.383.725.192
dabigatran,d03.633.100.103.280
olopatadine hydrochloride,d03.633.300.382.696
simeprevir,d02.886.590.700.700
simeprevir,d03.633.300.819
pedestrians,m01.665
undocumented immigrants,m01.189.500
"adipose tissue, beige",a10.165.114.161
"adipocytes, beige",a11.329.114.125
sec translocation channels,d05.500.890.625
sec translocation channels,d12.776.157.530.875
sec translocation channels,d12.776.543.585.875
degloving injuries,c26.808.500
staghorn calculi,c12.777.419.600.500.500
staghorn calculi,c12.777.967.249.500.500
staghorn calculi,c12.777.967.500.503.500
staghorn calculi,c13.351.968.419.600.500.500
staghorn calculi,c13.351.968.967.249.500.500
staghorn calculi,c13.351.968.967.500.503.500
staghorn calculi,c23.300.175.850.550.500
struvite,d01.029.260.700.675.374.887
struvite,d01.524.775
struvite,d01.695.625.675.650.887
transcription activator-like effector nucleases,d08.811.277.352.335.350.850
transcription activator-like effector nucleases,d12.776.828.300.850
